C6H6(GT),PT08.S2(NMHC),CO
14.6,1136,2.8
11.8,1044,3.3
15.4,1160,3.1
15.8,1173,2.4
19.8,1291,4.7
3.1,660,0.4
14.0,1117,3.6
2.3,602,0.7
6.6,837,1.7
17.5,1224,2.9
18.8,1264,4.2
3.1,656,0.4
8.2,909,2.0
8.8,931,1.6
7.2,866,1.6
6.5,836,1.6
19.5,1283,3.4
32.0,1597,7.2
8.5,919,1.0
14.2,1123,2.2
3.7,694,0.7
1.8,569,0.5
2.4,612,0.5
19.0,1267,2.9
23.7,1395,4.0
14.0,1116,2.3
4.5,738,1.6
14.6,1137,2.6
12.8,1077,2.6
3.3,671,0.9
5.9,807,1.8
10.6,998,2.4
16.4,1193,3.7
5.5,787,1.5
5.1,770,1.2
3.9,706,1.0
16.9,1206,3.0
7.5,880,1.9
14.3,1126,2.9
8.5,919,3.7
12.6,1071,3.1
7.5,878,2.5
8.2,909,3.5
19.5,1283,3.2
4.4,732,1.2
8.5,919,4.8
9.2,948,1.6
12.4,1064,2.2
12.4,1062,2.6
29.0,1527,6.4
17.3,1218,3.1
13.0,1083,2.1
21.6,1341,3.6
3.8,699,0.4
13.8,1110,2.7
23.2,1383,3.9
8.8,933,2.0
4.6,741,1.3
23.4,1388,3.9
2.2,596,0.8
17.0,1210,2.9
3.0,653,1.2
4.4,734,0.8
10.1,981,0.8
3.4,679,0.8
2.9,644,0.6
12.5,1067,3.4
7.7,885,1.3
4.6,743,0.7
15.5,1163,3.2
5.6,792,1.7
8.5,919,5.4
3.6,691,0.5
13.1,1088,2.2
3.2,666,0.5
8.6,923,2.4
10.9,1012,3.1
12.0,1049,1.6
26.1,1457,5.5
21.4,1334,4.1
9.5,959,1.7
8.5,921,1.8
3.0,651,0.6
2.0,582,0.9
12.0,1051,1.9
3.8,702,0.6
3.3,673,1.1
3.5,681,1.1
4.3,727,1.3
2.7,635,0.9
0.6,449,0.4
2.3,602,0.9
2.9,644,0.6
2.3,608,1.2
14.8,1143,2.6
8.8,933,1.9
11.7,1041,2.1
8.6,924,2.3
5.6,791,0.7
20.1,1298,2.6
14.2,1123,2.7
3.6,689,0.9
28.4,1514,5.7
10.7,1003,1.9
13.2,1091,1.8
5.2,771,0.8
21.3,1333,4.5
6.8,849,1.1
3.6,685,1.0
13.8,1109,2.6
10.0,976,2.1
8.5,919,3.4
11.7,1040,2.4
6.4,828,1.6
20.6,1312,3.2
9.7,966,2.2
11.3,1024,2.4
14.3,1126,3.3
7.1,861,0.9
5.5,788,0.9
2.5,621,0.7
20.2,1303,3.6
25.9,1451,4.4
6.4,829,1.3
2.2,597,0.2
15.2,1156,3.6
2.6,628,0.8
8.1,903,1.4
8.5,919,7.3
5.1,769,1.5
8.5,919,2.4
16.5,1196,4.3
10.0,979,2.3
8.3,911,1.6
27.1,1483,4.8
9.1,942,1.6
9.5,959,1.6
6.5,835,4.3
4.8,754,0.3
2.0,587,0.6
1.5,541,0.7
5.4,783,1.0
20.6,1313,3.4
8.5,919,0.7
7.0,855,1.8
4.1,715,1.8
9.8,971,2.1
12.4,1064,2.5
11.3,1025,2.9
7.2,866,2.3
10.5,995,2.2
15.9,1178,3.8
14.2,1124,2.1
8.5,919,4.5
8.5,919,0.7
6.4,832,1.2
6.2,822,1.0
2.7,635,1.0
2.6,626,0.8
27.2,1483,5.1
14.3,1126,2.6
18.0,1241,3.5
9.7,967,2.3
6.6,840,1.6
3.3,671,0.8
12.5,1066,3.2
8.4,917,1.9
4.3,728,1.1
8.5,919,2.4
4.3,725,1.1
3.3,673,1.3
13.4,1097,2.1
4.7,750,0.6
2.0,588,0.3
4.4,734,0.9
6.1,815,1.7
1.3,530,0.6
7.9,894,1.6
19.8,1290,4.6
9.5,958,1.5
2.4,616,0.4
7.4,873,2.3
19.9,1294,4.6
24.2,1410,5.0
15.3,1158,2.1
6.0,811,1.0
14.6,1136,2.1
8.5,919,2.7
10.8,1007,2.7
21.0,1324,2.6
17.5,1225,3.5
5.6,795,1.3
5.1,768,1.0
15.3,1157,3.0
7.9,897,1.8
8.5,919,9.1
10.0,978,2.3
13.2,1090,2.2
13.3,1094,2.5
3.4,677,0.8
14.8,1142,3.1
13.8,1111,2.8
14.0,1117,3.3
5.5,788,1.7
8.2,907,1.3
8.5,921,1.6
24.0,1405,4.5
18.2,1246,3.9
11.0,1014,2.4
2.9,646,0.9
20.4,1309,4.5
3.0,649,1.1
4.1,718,1.3
23.4,1387,4.2
6.2,820,1.9
4.3,725,0.7
5.1,767,0.3
49.5,1959,10.2
11.4,1029,2.4
6.8,848,1.2
10.2,985,1.9
3.7,692,1.2
0.6,458,0.3
14.3,1127,3.5
21.8,1345,3.5
22.4,1363,5.5
7.3,869,1.3
6.4,832,1.5
8.1,903,2.6
8.7,927,1.5
8.1,905,1.7
3.9,706,1.0
15.5,1164,4.2
8.0,899,2.0
4.4,730,0.7
7.2,866,1.1
27.8,1498,5.6
15.8,1173,3.2
2.7,636,1.0
2.1,593,0.7
8.5,919,1.4
11.8,1043,2.5
11.5,1033,2.3
8.5,919,1.7
11.9,1047,2.7
3.6,690,1.1
17.4,1221,3.3
7.6,882,1.4
12.9,1082,2.8
5.6,795,0.5
5.3,779,1.1
26.4,1463,4.3
25.7,1446,4.4
14.4,1131,3.0
2.5,618,1.1
23.7,1395,4.4
8.9,934,1.7
5.9,807,1.7
16.2,1187,4.4
8.7,928,2.3
25.4,1438,6.3
13.4,1096,2.6
2.0,584,0.5
24.3,1412,5.0
3.8,698,1.1
12.5,1068,3.0
7.3,871,1.2
5.4,783,1.3
12.2,1055,1.7
8.5,919,5.4
6.7,845,1.6
28.3,1510,6.5
6.1,816,1.3
11.8,1042,2.2
11.7,1041,2.1
7.5,878,1.2
17.3,1219,2.9
8.9,935,2.2
11.1,1020,2.8
8.5,919,2.3
4.2,724,0.7
17.6,1229,3.6
4.5,738,0.7
8.1,903,1.3
28.8,1522,4.4
7.4,875,1.6
5.7,797,2.0
3.6,686,1.4
7.1,862,1.2
8.1,905,2.5
5.8,805,1.1
8.5,919,3.3
1.7,558,0.4
9.5,958,1.7
5.9,807,2.5
11.6,1036,3.3
11.6,1037,2.4
10.2,984,1.7
13.4,1096,2.5
2.5,620,0.7
11.0,1015,2.5
6.6,838,1.5
12.7,1075,2.7
5.7,796,1.1
12.6,1069,2.3
3.6,688,0.9
12.4,1063,4.1
32.9,1617,5.8
35.8,1682,6.6
9.8,969,1.9
3.7,695,1.1
5.4,786,1.4
37.6,1720,6.9
11.6,1035,2.0
6.9,851,1.6
5.1,769,1.3
33.4,1628,5.9
25.2,1434,3.6
6.4,830,1.1
25.0,1430,4.4
2.5,616,0.8
0.7,473,0.3
1.8,571,0.6
5.0,763,1.4
9.6,962,1.5
8.5,919,2.3
13.0,1083,2.3
21.1,1327,3.1
14.8,1142,4.0
9.6,964,2.9
10.8,1008,4.1
11.2,1020,1.9
0.6,458,0.4
17.7,1231,4.1
9.7,966,2.2
20.9,1320,3.6
10.9,1011,1.9
2.4,614,1.0
7.8,893,1.9
1.0,502,0.4
3.4,679,1.2
3.5,681,0.6
3.1,661,1.1
9.0,940,1.9
12.2,1056,2.1
2.5,621,0.6
9.7,965,1.6
3.2,664,0.9
2.6,626,0.4
21.3,1331,4.3
25.7,1446,5.6
8.7,929,1.5
19.5,1283,2.7
8.5,919,4.9
16.7,1200,2.9
5.5,787,1.0
19.3,1277,3.8
4.1,714,1.5
13.5,1099,2.8
17.7,1231,3.3
6.7,842,1.5
18.0,1241,2.9
5.5,790,1.4
3.6,686,2.7
4.2,721,0.8
8.7,929,1.6
1.2,515,0.5
37.2,1712,8.7
22.9,1375,7.9
22.7,1371,5.9
5.1,766,1.4
1.7,561,0.8
5.8,802,1.7
4.4,735,0.9
5.6,793,1.9
7.9,895,1.6
20.0,1297,5.5
4.0,713,0.9
10.9,1009,2.0
20.9,1320,4.6
13.9,1113,2.8
8.2,906,1.5
4.7,747,0.7
8.2,907,2.5
2.5,619,0.7
4.6,744,1.1
3.0,654,0.5
16.0,1181,3.0
7.4,875,1.7
8.5,919,0.6
3.4,676,0.5
5.3,776,0.9
2.7,632,0.7
8.5,918,1.3
2.4,611,0.5
15.7,1171,2.8
8.5,919,2.2
12.1,1055,2.7
6.9,853,1.9
17.6,1228,2.8
9.7,966,2.1
6.5,835,0.6
8.3,912,2.1
16.0,1181,3.3
0.4,431,0.4
8.5,919,1.1
17.9,1238,4.0
6.7,845,1.0
3.8,699,0.9
15.9,1177,2.6
17.4,1222,3.3
4.2,724,0.7
11.4,1027,2.8
12.1,1055,2.5
12.8,1078,3.3
11.6,1037,2.9
14.4,1129,2.2
10.5,995,3.3
2.8,642,0.8
11.7,1039,2.7
13.8,1111,3.6
14.5,1131,3.3
17.4,1223,3.8
7.8,890,1.7
14.1,1119,2.7
28.0,1504,4.2
9.7,967,1.6
21.0,1325,3.8
4.0,708,0.8
23.1,1379,4.3
19.0,1268,3.2
6.5,833,1.2
8.5,919,0.7
12.2,1056,2.0
7.1,861,0.9
10.2,986,2.1
9.1,943,2.2
30.1,1552,4.5
16.3,1188,4.1
6.3,826,1.6
2.9,649,1.5
14.0,1117,2.6
10.4,994,2.0
2.4,611,1.1
4.8,751,1.3
5.1,771,1.2
8.0,899,2.1
3.0,651,0.9
7.8,892,2.6
12.1,1053,2.5
8.5,919,2.4
13.4,1097,2.9
12.3,1060,2.3
10.5,998,2.4
6.1,817,1.6
24.4,1414,7.5
6.2,822,1.3
3.5,684,0.1
8.6,923,2.2
2.2,601,0.7
13.8,1111,1.5
2.0,584,0.8
9.7,968,2.1
1.2,518,0.6
15.7,1171,3.2
8.5,919,5.4
24.5,1415,4.0
8.5,919,6.1
4.6,742,1.0
14.3,1127,2.5
10.9,1012,2.4
0.5,446,0.4
5.0,766,0.6
12.2,1057,2.2
8.5,919,2.0
7.9,893,1.6
6.2,823,1.5
13.0,1084,2.7
2.1,595,0.8
8.5,919,3.6
1.7,559,0.6
1.7,560,0.6
16.1,1183,3.6
9.0,941,2.1
19.4,1279,3.4
3.6,689,0.3
3.1,657,0.5
10.4,994,2.6
1.7,562,0.6
14.6,1137,2.2
4.5,736,1.0
4.3,728,1.3
21.3,1332,3.7
25.9,1451,5.5
16.2,1186,3.2
8.0,898,1.7
7.9,897,1.6
11.6,1037,1.8
2.5,622,0.2
5.7,800,1.4
4.1,716,0.9
12.3,1061,2.7
21.4,1334,4.5
5.1,771,1.0
10.5,996,2.8
2.3,604,0.6
8.5,919,3.8
2.6,629,0.7
5.6,794,1.9
12.4,1063,2.4
6.9,851,1.8
3.7,694,1.0
25.4,1439,5.4
3.8,700,1.1
9.2,947,1.5
13.4,1096,2.7
24.9,1428,4.2
11.9,1047,2.6
4.4,731,0.6
6.8,849,2.1
4.5,737,1.3
2.9,649,0.1
2.4,611,0.7
9.7,966,1.5
10.3,987,2.0
2.2,596,0.8
7.3,870,1.7
9.1,944,1.8
4.9,759,1.1
18.1,1244,4.5
2.6,627,0.4
8.5,919,3.4
8.1,905,1.6
10.9,1011,2.0
6.1,818,1.9
5.7,798,1.5
24.0,1403,5.0
8.5,919,1.6
6.6,837,1.6
14.2,1122,3.5
14.0,1118,2.3
7.0,859,1.0
6.8,849,1.3
2.6,626,0.4
7.0,858,2.1
1.1,512,0.5
27.8,1499,4.9
7.8,890,1.8
23.3,1385,4.9
4.2,721,0.9
10.8,1009,1.7
34.9,1663,6.5
15.6,1167,0.8
11.6,1037,2.9
6.1,816,1.3
8.1,902,2.3
16.1,1184,3.0
13.2,1091,0.5
10.7,1002,2.8
0.9,490,0.3
14.9,1145,3.3
9.2,948,1.5
3.9,703,0.3
5.8,802,0.5
15.9,1178,3.4
6.3,827,1.7
4.5,738,1.0
22.3,1359,4.4
4.1,716,1.1
14.2,1124,2.8
14.8,1143,2.8
19.4,1279,3.8
9.2,945,2.5
4.0,709,1.0
20.3,1305,5.1
8.5,921,2.0
8.3,910,1.4
16.3,1188,3.2
1.1,508,0.5
9.0,940,1.7
8.7,926,1.9
2.0,582,1.0
27.1,1482,5.1
7.0,856,1.6
3.5,680,0.5
9.1,943,2.3
16.7,1202,3.0
3.5,680,1.1
9.4,953,2.6
4.3,729,1.1
2.9,647,0.9
17.5,1224,3.5
5.8,801,0.8
9.6,961,1.6
8.4,914,2.0
5.1,769,1.4
22.5,1364,3.8
14.1,1121,2.7
2.5,618,0.4
8.5,919,1.9
6.2,819,1.5
4.0,713,0.9
12.4,1063,2.1
4.2,721,1.1
1.8,566,0.4
9.8,972,1.6
6.9,852,1.6
1.2,516,0.4
0.9,494,0.5
3.6,689,0.6
4.1,718,1.1
13.7,1106,2.5
10.3,988,1.9
3.7,692,0.6
2.2,597,0.8
19.4,1280,3.4
15.7,1171,2.5
2.0,584,0.7
8.7,927,1.7
17.7,1231,3.6
11.3,1024,1.8
15.1,1152,2.2
11.2,1023,3.3
12.8,1076,3.4
9.1,945,1.7
6.0,813,1.5
1.3,528,0.3
13.9,1114,2.7
14.6,1136,3.6
2.9,645,0.1
3.9,704,0.9
3.2,667,1.0
2.8,640,0.9
0.9,493,0.6
3.1,661,0.7
27.8,1499,4.7
8.5,919,1.1
4.6,744,0.7
7.4,873,1.7
9.6,962,2.6
18.4,1251,4.9
6.0,810,1.7
13.5,1101,2.9
2.4,613,1.0
14.0,1117,3.1
6.7,842,1.8
2.0,585,1.0
3.6,688,1.4
21.8,1345,4.1
5.2,772,3.0
15.5,1164,3.1
13.7,1107,2.5
9.6,964,1.2
6.9,854,1.7
2.7,631,0.7
10.0,977,2.1
4.1,714,1.8
17.9,1235,4.6
0.5,437,0.3
1.2,517,0.5
34.0,1641,5.5
24.2,1408,4.4
3.2,666,0.5
2.8,641,1.0
7.9,897,1.4
24.1,1406,5.0
5.0,762,0.8
4.2,722,1.0
3.5,685,1.0
22.0,1351,3.6
18.6,1257,3.4
9.4,956,1.6
38.1,1731,4.9
17.6,1229,2.9
10.3,990,1.9
8.5,919,1.0
5.1,769,1.4
2.8,641,0.3
11.7,1039,2.1
7.5,880,1.5
10.8,1006,2.8
27.9,1501,8.6
28.3,1511,4.1
10.9,1009,2.8
13.4,1098,3.0
9.1,944,1.6
14.8,1142,2.2
7.9,896,2.2
9.0,939,1.4
18.0,1240,3.7
7.4,875,1.4
24.0,1404,6.1
5.2,776,1.6
16.9,1206,2.9
13.3,1094,2.2
8.5,920,1.7
8.9,937,1.8
19.0,1267,3.8
5.2,774,0.5
5.1,768,0.9
7.4,873,2.0
5.4,785,1.6
8.5,919,0.6
2.3,606,0.3
5.5,786,1.4
18.0,1239,4.0
16.6,1197,2.3
1.0,503,0.4
2.3,605,1.0
25.8,1450,4.7
1.8,569,0.7
2.4,616,0.6
50.6,1980,11.9
11.3,1026,3.0
3.3,669,0.9
13.3,1094,2.6
11.0,1013,4.3
3.4,674,0.9
21.5,1339,4.0
18.8,1262,3.5
5.0,761,1.3
21.1,1327,3.4
3.4,675,1.2
2.8,639,1.2
2.3,607,0.7
2.8,642,0.8
8.5,919,2.7
8.1,905,2.1
3.1,661,0.6
6.3,824,1.2
16.4,1191,1.4
18.6,1258,3.7
10.2,987,1.6
6.2,821,1.5
2.5,617,0.9
24.3,1410,5.2
0.9,490,0.5
16.7,1202,2.8
2.8,641,0.8
7.6,881,2.7
5.4,781,1.0
11.4,1029,2.2
3.6,688,1.0
16.6,1199,3.3
13.5,1100,3.1
15.1,1153,2.7
12.8,1078,2.1
1.7,563,0.7
6.2,819,0.6
5.3,778,1.0
0.2,390,0.2
9.1,945,1.7
12.1,1052,2.0
13.5,1100,2.9
1.9,574,0.8
6.0,812,1.4
8.8,933,2.8
4.4,730,1.4
2.8,640,1.2
3.7,693,1.4
2.1,591,0.3
25.5,1443,4.5
4.5,737,0.7
17.4,1223,2.8
16.7,1200,2.9
3.4,675,1.0
5.8,801,0.9
19.9,1294,3.7
27.5,1490,5.7
17.6,1228,4.0
23.3,1386,5.9
0.4,435,0.4
16.0,1181,3.0
2.7,633,0.8
2.2,595,0.5
8.1,903,1.8
8.5,919,1.9
15.3,1159,3.2
11.1,1017,1.8
9.8,970,1.4
25.5,1443,4.5
28.2,1509,4.8
7.3,871,1.6
8.0,900,1.3
2.5,623,0.6
6.3,827,1.3
24.3,1412,3.6
6.6,837,1.5
38.3,1735,6.3
6.7,843,1.6
11.9,1047,2.6
5.8,804,1.7
28.5,1515,4.9
33.9,1639,2.5
6.8,850,1.5
8.5,919,0.7
8.9,937,2.3
8.6,925,1.9
6.0,811,1.4
6.5,836,1.2
2.9,645,1.0
8.8,931,2.1
17.0,1210,2.3
5.0,761,1.3
29.0,1528,6.0
3.3,672,1.0
17.9,1237,3.4
1.5,545,0.7
4.3,726,1.4
13.0,1084,3.2
15.9,1176,3.4
5.3,778,1.4
2.5,622,0.7
8.6,923,1.4
2.6,626,0.1
1.3,531,0.9
9.2,948,2.0
30.3,1558,5.8
35.9,1685,7.8
3.0,654,0.8
6.8,846,1.5
6.0,814,1.1
10.3,988,2.2
2.9,645,0.5
2.7,633,0.9
8.5,919,2.2
14.5,1132,4.6
27.9,1500,4.1
19.4,1279,3.7
4.6,741,0.9
2.5,618,0.3
7.1,859,1.8
2.7,633,1.0
30.7,1568,6.1
7.5,880,1.1
8.4,915,1.7
7.3,871,1.3
26.6,1469,5.1
12.2,1058,2.4
6.4,832,1.3
6.0,812,1.5
6.4,831,0.9
16.1,1181,3.0
5.1,769,1.2
6.3,825,1.2
4.8,751,0.7
3.8,699,0.6
1.8,568,0.7
8.5,919,2.2
17.0,1209,3.1
5.3,778,0.8
5.5,788,1.0
7.3,871,1.8
8.6,924,2.1
2.9,648,0.4
7.6,883,1.8
1.7,564,0.4
8.5,919,2.0
15.5,1164,3.6
8.5,919,2.3
5.6,792,1.1
0.3,407,0.2
8.5,919,1.0
2.4,610,0.7
5.0,761,1.1
4.0,713,0.5
10.7,1005,2.4
32.9,1617,5.4
8.5,919,3.1
6.8,847,1.2
14.8,1143,3.1
9.1,945,1.4
14.8,1141,1.7
13.2,1090,3.4
3.1,659,1.0
17.7,1231,3.4
10.5,996,2.0
8.5,919,0.9
13.4,1097,2.5
23.6,1393,4.7
4.3,726,0.8
5.8,805,1.5
19.7,1288,3.7
16.9,1208,3.1
3.8,699,0.6
3.2,666,0.9
5.5,786,1.5
3.6,690,0.8
2.5,620,0.7
3.8,701,1.2
43.7,1846,8.0
28.7,1520,5.4
24.2,1409,4.3
16.3,1190,3.8
2.8,640,1.1
8.9,937,2.1
34.1,1643,6.3
10.1,981,3.2
14.2,1122,2.6
33.9,1641,6.5
12.6,1070,2.5
8.5,919,1.8
7.1,860,1.2
23.9,1401,5.3
1.8,568,0.8
3.1,659,1.2
9.7,967,1.6
20.8,1319,5.2
8.5,920,3.8
6.6,838,1.7
17.4,1221,4.0
9.6,964,1.9
9.6,961,2.5
13.8,1111,2.5
2.4,615,0.5
4.1,715,0.8
8.5,919,0.9
9.9,974,1.5
6.1,817,1.3
1.3,526,0.6
25.8,1449,4.6
14.5,1131,2.6
17.1,1213,3.4
18.5,1253,4.6
8.5,919,2.2
3.3,670,1.4
23.6,1393,3.9
3.1,660,1.5
15.8,1173,2.9
8.5,921,1.9
3.4,675,0.9
18.0,1239,4.1
3.0,652,1.2
3.5,685,0.9
4.5,735,2.9
12.4,1064,1.9
2.8,637,1.1
10.7,1003,2.2
7.5,878,1.3
27.3,1486,4.1
9.6,963,1.5
5.7,800,1.4
9.7,965,2.2
25.3,1438,4.4
9.8,970,2.1
15.0,1149,2.4
2.7,633,1.0
9.8,971,1.9
7.3,868,1.4
3.6,686,0.6
7.3,869,1.6
5.5,788,0.4
5.5,789,1.9
1.5,543,0.3
15.8,1174,2.8
6.3,825,1.3
2.4,615,0.5
2.0,581,0.4
7.5,877,2.0
14.1,1120,2.5
7.5,876,2.1
5.8,803,1.1
7.7,885,1.4
1.7,561,0.6
11.8,1043,2.8
7.5,878,2.4
33.0,1619,5.8
20.9,1323,4.8
4.5,736,1.4
6.7,843,2.1
8.8,932,1.1
7.5,879,1.9
10.7,1005,2.2
4.9,760,1.0
20.2,1303,4.5
5.1,771,2.2
3.1,655,0.8
9.8,970,2.0
5.4,784,1.2
10.4,992,1.9
14.2,1124,4.0
7.4,873,1.9
9.3,950,2.4
35.9,1684,6.8
1.6,551,0.5
7.6,883,2.2
5.5,787,0.9
2.5,623,1.2
12.3,1060,2.5
19.0,1269,4.5
15.9,1178,1.9
13.5,1100,1.6
13.5,1100,2.4
10.8,1009,2.0
8.5,919,3.7
5.7,798,1.1
9.7,966,2.0
9.6,962,2.5
12.2,1058,2.3
11.2,1023,2.2
9.9,973,2.4
21.6,1340,3.8
6.2,822,1.6
8.6,922,2.7
8.5,919,2.9
20.0,1296,2.3
19.9,1295,4.2
3.8,702,0.9
15.3,1157,3.1
8.1,904,0.1
5.2,776,1.4
6.4,831,1.6
4.1,715,1.0
8.0,901,1.6
8.0,900,2.6
11.0,1016,1.9
15.7,1171,2.5
26.4,1465,4.9
13.3,1095,2.3
13.4,1096,3.1
6.3,826,1.6
12.4,1065,1.5
9.2,947,2.3
22.4,1361,3.3
12.6,1072,2.7
6.5,833,1.2
11.1,1019,1.7
4.9,761,0.9
11.7,1040,3.1
5.9,806,1.4
40.2,1776,4.0
9.4,955,1.8
3.1,660,2.5
19.7,1288,4.0
5.3,780,1.4
9.1,942,1.9
2.2,596,0.3
2.4,615,0.8
8.5,919,3.2
10.3,989,2.1
19.5,1283,3.6
16.9,1206,3.3
2.8,638,0.5
8.5,919,2.7
12.5,1067,2.2
25.4,1439,4.0
4.3,727,1.3
2.4,611,0.7
30.3,1559,5.6
2.4,610,0.6
8.5,919,3.3
17.1,1212,3.5
8.0,898,1.9
9.9,975,2.3
26.3,1461,5.1
14.2,1124,2.4
19.1,1270,3.2
1.2,522,0.5
21.4,1336,3.0
27.4,1488,6.9
2.8,638,0.3
13.0,1083,2.6
8.2,906,1.0
14.5,1134,2.6
10.6,999,2.0
16.8,1204,3.8
7.9,894,1.1
4.8,752,0.7
14.6,1136,4.5
10.1,983,2.0
8.9,937,2.0
2.3,606,0.6
17.3,1219,3.2
8.4,914,1.5
22.6,1368,4.6
7.2,868,1.2
21.0,1325,4.4
5.0,765,1.6
2.9,645,0.4
9.5,960,4.2
21.5,1338,4.3
26.2,1460,4.8
2.0,583,0.5
16.5,1196,3.9
9.3,950,1.8
15.7,1170,3.4
9.2,946,2.0
2.2,597,0.7
5.2,772,1.0
15.1,1153,3.5
5.1,769,1.1
29.8,1546,5.3
39.2,1754,8.0
3.1,657,1.7
1.8,567,0.7
5.4,784,1.0
7.6,881,1.6
5.7,800,1.5
9.4,956,1.4
27.9,1501,4.1
8.5,919,0.8
10.8,1008,1.7
11.6,1037,2.4
19.9,1294,3.4
24.5,1416,4.7
5.6,792,0.9
0.6,455,0.4
18.8,1263,3.5
9.2,948,1.6
4.1,715,0.7
25.6,1443,4.6
7.3,871,1.7
19.8,1290,4.1
4.0,712,1.1
9.4,954,2.2
20.6,1312,4.7
17.2,1216,4.3
10.4,992,1.8
12.9,1079,2.4
5.0,764,1.0
4.4,733,1.7
8.5,919,1.3
26.2,1458,5.1
0.7,462,0.4
2.6,630,0.7
18.4,1252,3.7
17.9,1238,3.6
7.8,893,1.8
21.5,1337,6.8
24.2,1408,5.9
19.4,1281,3.6
25.1,1432,5.4
14.1,1121,2.8
8.5,919,2.4
8.5,919,0.8
16.4,1191,3.4
9.2,948,2.0
14.2,1122,2.6
3.1,659,0.7
5.1,769,1.0
8.5,919,0.8
6.1,819,1.4
10.9,1012,2.6
12.8,1078,2.1
6.3,825,1.3
3.7,691,0.9
16.1,1183,2.4
21.1,1328,3.8
4.2,721,0.7
